Year,State,State Abbr,District,Democratic Votes,Republican Votes,Total Votes,Voting Eligible Male,Voting Eligible Female,Voting Eligible Population,Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,Income above 75k,Income below poverty,Median income,State FIPS,Income under 25k,Income 25k to 50k,Income 50k to 75k
2014,California,CA,18,133060,63326,196386,323209,337151,660360,724501,39.7,489656,408403,125748,14120,2655,146182,1626,33914,363346,361155,97677,34165,60009,115398,149568,145922,586775,181908,32536,47758,6,246855,93999,64013
2014,California,CA,19,127788,0,127788,340506,347188,687694,725285,35.4,353261,189650,296738,22920,5457,195282,2946,34896,363188,362097,117831,98305,94252,129680,99247,53210,576710,97759,41292,30342,6,309563,108398,60990
2014,California,CA,20,106034,0,141044,297617,297285,594902,719355,33.7,551704,275076,371101,15261,5998,38705,2835,27417,363918,355437,132864,112104,88085,129812,73004,45293,568318,64761,88368,24289,6,339081,109396,55080
2014,California,CA,21,33470,45907,79377,289114,245234,534348,710712,28.7,492937,133017,511225,31545,8116,23313,826,21730,377207,333505,159212,169844,98732,97450,22904,9398,520038,20526,143940,17345,6,384285,86276,28951
2014,California,CA,22,37289,96053,133342,275611,291914,567525,724506,32.1,527478,298937,332654,23054,7063,53221,1321,30595,357296,367210,78656,88747,99188,146535,67631,33931,550936,54992,100223,24006,6,330786,108920,56238
2014,California,CA,23,33726,100317,134043,281920,279752,561672,717203,33.5,539232,348038,266494,46062,8701,35182,977,29281,363442,353761,56303,81313,118031,161929,55777,29326,553865,62962,95905,25469,6,329795,101898,59210
2014,California,CA,24,103228,95566,198794,305408,304801,610209,715126,35.6,559883,401049,249615,14325,6457,32231,949,26895,360776,354350,83912,74574,85219,150144,87166,57042,590922,77066,78301,25886,6,331726,119730,62400
2014,California,CA,25,0,114072,114072,289097,304419,593516,712071,35.1,458701,314224,261850,56574,3938,55767,1491,37078,354399,357672,65656,68555,98371,156997,80232,38454,551921,86698,50919,31008,6,303133,102172,59918
2014,California,CA,26,87176,82653,169829,296305,309816,606121,713059,36.5,552174,319870,315479,13630,4989,47762,1065,29642,353879,359180,93910,84729,85683,144796,90433,55310,565279,93566,63144,28598,6,302695,110044,58974
2014,California,CA,27,75728,51852,127580,348844,393075,741919,714256,40.9,315857,205031,196795,31919,2114,264289,1115,23720,345796,368460,101125,78045,92940,132443,122064,82096,600010,95729,30439,29439,6,329471,111401,63409
2014,California,CA,28,91996,0,120264,371268,394569,765837,714098,39.0,489768,393033,185568,17754,2643,96107,849,28478,357469,356629,125012,76077,88364,142262,154982,73931,616762,98665,74252,28123,6,328343,120823,68931
2014,California,CA,29,50096,17045,67141,320207,334848,655055,707030,32.7,413855,130669,482409,29649,3968,56488,961,18780,353563,353467,181637,149321,108303,105965,62573,19814,557768,31793,87154,20693,6,371169,112273,42533
2014,California,CA,30,86568,45315,131883,347317,376522,723839,735233,38.6,496009,375777,209954,33366,2878,91266,845,34228,362031,373202,102684,60984,94877,146234,140773,73113,608713,108223,56214,32121,6,306633,121986,71871
2014,California,CA,31,51622,48162,99784,284504,304948,589452,721640,31.5,430120,202564,366321,77996,5593,55202,2396,35527,355723,365917,85620,91118,105544,140006,60765,36964,553990,55437,77676,24925,6,338681,105665,54207
2014,California,CA,32,50353,34053,84406,320970,346609,667579,715691,34.6,356284,122655,445085,21044,4774,117980,838,25653,351473,364218,121042,120624,120541,124384,64872,25634,571980,45041,51575,22958,6,360003,114442,52494
2014,California,CA,33,108331,74700,183031,319895,357798,677693,712287,40.7,536446,477115,86220,19382,1888,98655,1488,35805,343219,369068,62421,21890,53982,116101,181514,137702,603864,181002,42868,48650,6,252410,94758,75694
2014,California,CA,34,61621,0,61621,335828,338235,674063,706331,34.2,270044,70156,461193,29944,4375,137244,1543,17099,361923,344408,225921,175761,96741,94311,74211,28499,577438,31702,72273,17393,6,416342,94978,34416
2014,California,CA,35,62255,0,62255,298076,307521,605597,723202,30.6,411918,108319,504977,51152,5983,46510,2156,28637,360673,362529,133418,131789,113319,120479,44229,16092,554971,32773,72289,21678,6,366907,109903,45388
2014,California,CA,36,72682,61457,134139,298377,305964,604341,722617,38.8,491076,305991,347419,29771,7824,24124,1277,25650,361744,360873,101669,103856,127062,153142,60800,37224,574243,53148,83099,22600,6,354013,117115,49967
2014,California,CA,37,96787,18051,114838,311369,349576,660945,717062,34.9,293935,176758,276367,171670,5228,71339,1132,27314,346103,370959,137704,102853,84980,120448,107439,68441,593186,74461,48906,24639,6,350014,111168,57543
2014,California,CA,38,58192,40288,98480,312100,347009,659109,714959,35.7,376921,128184,440875,28046,5503,105539,1748,24488,348853,366106,97718,105466,117206,141622,67158,31100,573006,54086,47151,25601,6,339913,120443,58564
2014,California,CA,39,41906,91319,133225,332157,359490,691647,719303,37.7,390656,233085,241739,16163,2370,210474,1950,28105,353875,365428,97117,57713,89434,146158,124705,60074,585978,95308,37854,31386,6,312372,111154,67144
2014,California,CA,40,49379,0,49379,285035,301847,586882,706825,29.8,381381,35215,616783,35424,3148,16876,1170,13123,350851,355974,205906,199535,94630,77563,26288,8659,530211,16529,96118,17492,6,393414,91377,28891
2014,California,CA,41,46948,35936,82884,287602,302994,590596,723608,30.1,422046,178275,419672,68191,7351,40322,2243,29387,357483,366125,103715,111279,110047,128798,43480,25442,554374,39833,76669,22457,6,358347,108471,47723
2014,California,CA,42,38850,74540,113390,298961,308157,607118,735866,34.3,505358,336159,268077,40404,5580,64804,3226,37097,366899,368967,65289,66636,112731,168894,73466,36792,567597,78974,51161,29918,6,315372,107637,65614
2014,California,CA,43,69681,28521,98202,293029,333324,626353,709580,34.0,268633,103945,327512,167743,3073,88743,3612,37259,340717,368863,124979,109543,101565,133704,74972,34442,560935,51069,47286,23787,6,341848,114933,53085
2014,California,CA,44,59670,0,68862,289509,311277,600786,715526,30.5,327696,48516,495043,116661,5362,41429,4404,28975,351492,364034,150587,156604,104970,109168,35852,12270,544292,25488,77710,19467,6,377276,103697,37831
2014,California,CA,45,56819,106083,162902,324659,355262,679921,727633,38.7,473946,394662,133934,12977,2425,158705,1965,30140,356313,371320,83444,34591,66698,137013,155737,98447,595666,144599,31607,41053,6,276207,103645,71215
2014,California,CA,46,49738,33577,83315,309422,313466,622888,717316,30.9,406450,131737,477978,12800,3283,85845,1718,17713,361034,356282,187877,150372,101105,104395,54887,19759,553093,32794,75707,22109,6,357551,118334,44414
2014,California,CA,47,69091,54309,123400,320733,339969,660702,716563,36.2,396815,232486,248855,51733,5611,155241,5949,37931,352898,363665,100695,89097,93639,150271,93243,46884,580034,74992,63090,26777,6,328969,112622,63451
2014,California,CA,48,62713,112082,174795,327647,348151,675798,716473,40.5,486414,407133,150449,8091,2314,127556,2171,26747,353842,362631,67480,55259,78172,155352,140861,78727,596184,128177,39434,36183,6,283023,113134,71850
2014,California,CA,49,64981,98161,163142,303254,300047,603301,717346,36.6,557618,438415,188003,19588,3314,47112,3153,31883,364714,352632,69072,49983,78095,150542,118628,74192,574679,109543,58624,32660,6,288574,115572,60990
2014,California,CA,50,45302,111997,157299,288563,308994,597557,720932,36.6,578604,420934,215614,17326,8182,37370,2676,34886,354986,365946,81204,75015,107612,169593,80973,38681,574511,72963,79943,27869,6,320550,120020,60978
2014,California,CA,51,56373,25577,81950,308092,316591,624683,722365,31.0,458669,98810,501562,51989,5982,58398,2134,28681,365727,356638,142794,140482,105259,127047,41850,15594,558197,26801,100889,19966,6,385990,105895,39511
2014,California,CA,52,98826,92746,191572,333205,336306,669511,722414,36.1,502796,434927,95414,21593,3563,139783,2900,34925,364208,358206,68367,24098,61098,134677,157314,117924,603393,138865,42802,39929,6,270232,114620,79676
2014,California,CA,53,87104,60940,148044,324200,341205,665405,732283,34.7,479662,305207,240712,59498,4722,96015,4636,44715,365147,367136,77730,56409,93726,169637,111473,59940,602626,80104,61061,31184,6,307238,135907,79377
2014,Colorado,CO,1,183281,80682,278494,312052,317829,629881,754428,34.6,579213,431025,213741,64646,7593,25382,640,25617,376773,377655,73004,68841,96959,130733,140183,87879,616381,91011,78384,31263,8,295411,150588,79371
2014,Colorado,CO,2,196300,149645,345945,306766,305833,612599,743871,37.2,673007,622297,75414,6599,3419,21471,756,20293,374749,369122,30725,21116,76912,138285,151631,104703,617700,106928,74228,31837,8,291849,139664,79259
2014,Colorado,CO,3,100364,163011,281141,284686,285714,570400,721514,39.3,634524,515370,174695,7163,14866,5030,554,20418,363503,358011,30501,52708,131744,161829,95899,49186,584883,53389,87783,25446,8,319900,144353,67241
2014,Colorado,CO,4,83727,185292,286507,283922,281328,565250,740752,36.6,657032,540435,160349,9905,6020,13081,590,20635,373675,367077,38992,51815,116889,156151,104271,50186,577564,81952,69022,30269,8,291280,133559,70773
2014,Colorado,CO,5,105673,157182,262855,292824,290197,583021,742085,35.3,608594,538979,110840,41929,5193,18040,2001,37868,377154,364931,25127,34981,109364,175318,98828,62880,590865,72053,64061,28349,8,309397,140577,68838
2014,Colorado,CO,6,118847,143467,276440,285820,304059,589879,749853,35.5,566664,470326,147901,67781,5020,39650,1318,31998,369446,380407,67012,41301,98241,150841,129170,67165,580480,94659,45523,33938,8,270291,135439,80091
2014,Colorado,CO,7,148225,120918,269143,293143,300445,593588,745077,35.9,645877,486767,205662,11039,7806,23907,782,23377,372970,372107,49451,61484,129226,154981,99693,52010,594916,70633,72569,31205,8,284732,159679,79872
2014,Connecticut,CT,1,127430,78609,217881,290508,324580,615088,716939,40.5,512344,455161,111392,107114,1659,34048,303,23313,346163,370776,51141,56924,137302,128980,99117,74641,588695,93708,39491,32995,9,275624,133902,85461
2014,Connecticut,CT,2,131294,80837,227936,292691,298772,591463,714049,41.2,624366,593355,52861,27587,2260,22192,262,22426,357651,356398,22927,41340,147917,136518,89336,71659,594590,96413,42219,32855,9,277915,134056,86206
2014,Connecticut,CT,3,130009,69454,209939,285590,321041,606631,716410,39.5,540319,483710,96302,95623,1660,29061,144,16985,343210,373200,44800,49339,149064,122525,91597,79074,595415,89317,43437,31608,9,288641,133794,83663
2014,Connecticut,CT,4,101401,88209,198800,289714,320400,610114,728317,39.3,537021,462246,132078,88510,1418,36650,165,16362,354733,373584,85792,52032,102285,99516,129936,103782,579891,136534,34025,36430,9,271940,107110,64307
2014,Connecticut,CT,5,106256,92404,213301,287137,312029,599166,716338,41.0,575055,513888,120162,47037,1039,23891,231,19711,348864,367474,50293,57376,141319,124589,96676,72733,586967,96783,49211,32175,9,283360,129244,77580
2014,Delaware,DE,1,137251,85146,231617,355779,390498,746277,917060,39.1,639354,590218,78598,198028,3134,31745,494,23936,443923,473137,41352,74267,195806,168049,108647,74117,747226,90158,58073,30062,10,373540,185711,97817
2014,Florida,FL,1,54976,165086,235343,290609,294694,585303,720838,38.4,559415,534947,41544,96120,4501,18329,1604,29499,362116,358722,17408,53377,137660,171228,79965,43639,590664,53218,66830,25380,12,332552,143116,61778
2014,Florida,FL,2,126096,123262,249780,291624,288051,579675,705039,36.3,490089,462011,39153,173210,3352,13546,250,17669,356925,348114,18594,65556,134368,137824,74393,48530,586844,43017,74327,23753,12,355086,135875,52866
2014,Florida,FL,3,73910,148691,228809,289849,294256,584105,704221,38.3,557228,513407,57600,95275,2119,21012,419,19229,353941,350280,24706,61614,143838,147623,66487,45701,584571,42078,88269,23247,12,358658,128595,55240
2014,Florida,FL,4,0,177887,227253,284754,306829,591583,711805,37.5,549777,505561,57124,98158,2243,31955,644,21180,348561,363244,32520,45513,136050,160913,98344,46630,581597,64403,59982,30019,12,296229,149897,71068
2014,Florida,FL,5,112340,59237,171577,265141,298790,563931,702714,34.2,275511,219421,86494,368170,1758,16379,660,19765,337924,364790,47795,84701,154338,137923,49782,21825,554617,20526,54424,19827,12,373090,123573,37428
2014,Florida,FL,6,99563,166254,265817,293122,318094,611216,716304,46.1,604703,568379,51642,67103,1915,13749,496,14492,348491,367813,22452,56758,155631,166448,91048,50052,605966,55729,78594,24455,12,351681,140937,57619
2014,Florida,FL,7,73011,144474,227164,290194,315828,606022,712793,37.7,578734,467437,143539,65144,1740,25745,567,20467,348138,364655,35070,40161,122002,154094,104260,55563,588234,61059,65924,26558,12,330149,138026,59000
2014,Florida,FL,8,93724,180728,274513,290436,317592,608028,704638,46.8,589975,537755,67472,70183,1884,14106,504,18212,343564,361074,26412,53122,153101,173285,85536,51555,596126,58015,72067,25039,12,338548,140138,59425
2014,Florida,FL,9,93850,74963,173878,305862,330750,636612,745639,34.7,557259,276710,346764,83404,2191,32157,946,24140,366210,379429,75992,72103,144733,151439,79116,33919,595098,34144,93174,22140,12,371099,142912,46943
2014,Florida,FL,10,89426,143128,232574,299050,319644,618694,727409,40.4,558524,471097,120833,90415,2119,28524,493,19122,356687,370722,48377,58709,149219,155975,96921,48998,597105,55704,66634,25894,12,332531,149810,59060
2014,Florida,FL,11,90786,181508,272294,294572,322940,617512,709489,51.9,616480,565132,64770,60144,2484,8881,238,13154,345249,364240,16986,73167,198120,173382,63742,35731,611720,34521,87957,21587,12,382698,143524,50977
2014,Florida,FL,12,0,0,0,285814,318164,603978,709722,44.5,630191,558341,86406,33007,1853,18825,496,17093,343495,366227,28129,52112,157307,163694,92901,46633,589657,61971,73382,26288,12,325324,138282,64080
2014,Florida,FL,13,0,168172,223576,298180,330829,629009,701045,47.2,608827,555329,64640,40932,1901,24655,599,16833,337507,363538,37708,56981,159799,167766,97702,50790,603405,57044,72659,26451,12,323506,157868,64987
2014,Florida,FL,14,0,0,0,294850,321853,616703,725056,35.7,457027,298590,204945,191798,5060,21124,637,20102,354126,370930,68958,75644,145529,139383,83209,44199,589713,47185,79629,23963,12,346767,142721,53040
